Observation ID,Test Case Reference,Category,Description,Severity,Actual Spoken,ASR Output,Language,Notes
OBS-001,ASR-001,Proper Name Recognition,"Proper name ""प्रणव"" was misrecognized as ""ग्रन्यो"" during slow speech",Medium,मेरा नाम प्रणव है,मेरा नाम ग्रन्यो है,Hindi,Slow segmented speech affected name recognition. Normal speed worked correctly.
OBS-002,ASR-002,Hinglish Handling,"English word ""meeting"" correctly preserved as ""मीटिंग"" in Hindi context",Low,Kal meeting 5 baje hai,कल मीटिंग पाँच बजे है,Auto-detect/ Hindi,"Good code-switching handling. User spoke twice, model captured both."
OBS-003,ASR-003,Number Verbalization,Phone number digits were verbalized as Hindi words instead of numeric digits,High,मेरा फोन नंबर 9876543210 है,मेरा फ़ोन नंबर नौ आठ एक शून्य सात पाँच चार छः तीन छः,Hindi,"Major issue for applications requiring numeric format (banking, OTPs, etc.)"
OBS-004,ASR-011,Phone Number Format,9810754636 transcribed as verbalized Hindi words,High,मेरा फोन नंबर 9810754636 है,मेरा फ़ोन नंबर नौ आठ एक शून्य सात पाँच चार छः तीन छः,Hindi,"Consistent behavior - numbers always verbalized, not preserved as digits"
OBS-005,ASR-012,Email Address Handling,Email address completely corrupted with phonetic Hindi transcription,High,praneet.pranav04@gmail.com,उनीथ डॉट रनौ ज़ीरो फ़ोर आर ज़ीमिल डॉट कॉम,Hindi,Email addresses are inherently difficult. Mixed script (Latin + symbols) not handled.
OBS-006,ASR-013,URL Handling,GitHub URL phonetically transcribed instead of preserving exact spelling,High,github.com/pranav-singh-patil,गीतहब डॉट कॉम स्लैश प्रणव सिंह पाटील,Hindi,URLs are difficult due to domain name structure. Phonetic transcription is understandable but not usable.
OBS-007,ASR-014,Date Verbalization,Date numbers correctly verbalized in Hindi,Low,मेरा इंटरव्यू 15 अगस्त 2026,मेरा इंटरव्यू पंद्रह अगस्त दो हज़ार छब्बीस,Hindi,Dates work well when verbalized naturally in Hindi
OBS-008,ASR-015,Time Verbalization,Time expression with minor verbalization error,Medium,मीटिंग शाम को 7:30 बजे,मीटिंग शाम को सात बजकर तीस विनेत,Hindi,"Mostly correct but ""विनेत"" appears to be a transcription error"
OBS-009,ASR-016,Language Detection Override,"Language selection mismatch (English selected, Hindi spoken) still produced Hindi output",Low,Meeting शाम को सात बजकर तीस विनेत को शुरू होगी,Meeting शाम को सात बजकर तीस विनेत को शुरू होगी,English,Hindi speech detected and transcribed correctly despite English language selection
OBS-010,ASR-006,Long Sentence Handling,Complex multi-clause sentence transcribed accurately with all words preserved,Low,आज सुबह जब मैं स्टेशन पहुंचा तो बारिश शुरू हो चुकी थी और प्लेटफॉर्म पर बहुत भीड़ थी,आज सुबह जब मैं स्टेशन पहुँचा तो बहुत तेज़ बारिश होने लगी और सभी लोग प्लेटफ़ॉर्म की तरफ़ भागने लगे और कोई लोग अपना छाता खोलने लगे,Hindi,Excellent performance on long sentences. Meaning perfectly preserved.
OBS-011,ASR-007,Technical Terms,"Technical vocabulary (Transformer, PyTorch, model, train) correctly recognized",Low,मैंने ट्रांसफ़ॉर्मर मॉडल को पाइटोर्च में ट्रेन किया है,मैंने ट्रांसफ़ॉर्मर मॉडल को पाइटोर्च में ट्रेन किया है,Hindi,Technical terms phonetically transcribed but remain understandable
OBS-012,ASR-008,Question Handling,Interrogative sentences correctly transcribed as questions,Low,क्या आप आज शाम मेरे साथ चलेंगे?,क्या आप मेरी आवाज़ सुन पा रहे हैं,Hindi,Question form preserved correctly
OBS-013,ASR-009,Command/Request,"Polite commands with ""कृपया"" preserved correctly",Low,कृपया दरवाज़ा बंद कर दीजिए,यह फ़ाइल मुझे डाउनलोड करके भेज दीजिए,Hindi,Imperative form maintained. Different command but same category.
OBS-014,ASR-020,Noisy Audio,1.5x YouTube audio with background noise produced incoherent output mixed with English,High,Normal Hindi speech,अच्छी से लगाते हैं ना तो लगाना वही से लगाते हैं यार आई डोंट लाइक आई डोंट लाइक यहां लवी यहां बेस सिक्स पैक आपसे अच्छी से लगाना बहुत अच्छी से लगाना है,Hindi,Severe degradation under noisy conditions. Output unusable.
OBS-015,ASR-021,Slow Speech Issue,Slow deliberate speech caused proper name corruption,Medium,मेरा नाम प्रणव पाटील है,मेरा नाम ग्रन्यो है,Hindi,Slow segmented speech negatively affects recognition accuracy
OBS-016,ASR-022,Technical Terms in Personal Statement,"""मशीन लर्निंग"" correctly recognized in personal context",Low,मैंने पूरी में रहता हूँ और मुझे मशीन लर्निंग बहुत पसंद है,मैंने पूरी में रहता हूँ और मुझे मशीन लर्निंग बहुत पसंद है यार हाँ,Hindi,"Technical term preserved perfectly. Added ""यार हाँ"" at end."
OBS-017,ASR-023,UPI ID Verbalization,UPI ID numbers verbalized as Hindi words,Medium,मेरा UPI ID 347895 है,हाँ मेरा उड़ीपी है तीन चार सात आठ नौ पाँच,Hindi,Similar to phone numbers - digits verbalized not preserved
OBS-018,ASR-024,English Clean Speech,English transcription with minor name pronunciation issue,Low,Hey my name is Pranav Patil and I am an AI engineer. Thank you.,Hey my name is Pranav Padil and I'm an A I engineer. Thank you.,English,"Good English handling. ""Patil"" -> ""Padil"" (pronunciation), ""AI"" -> ""A I"" (spelling)"
OBS-019,ASR-025,English OTP Verbalization,OTP numbers verbalized as English words instead of digits,Medium,Please note the OTP. It's 23465. Thank you.,Please note the OTP. It's two three four six five. Thank you.,English,Same issue as Hindi - numbers verbalized not preserved as digits
OBS-020,ASR-026,Repetition Hallucination,Single utterance transcribed as duplicate,Low,आज मौसम बहुत अच्छा है,आज मौसम बहुत अच्छा है आज मौसम बहुत अच्छा है,Hindi,Model hallucinated repetition. User spoke once.
OBS-021,ASR-027,Word Substitution,"User said ""पहुचा"" (reached) but model transcribed ""बोल चाहूँ"" (want to speak)",Medium,आज मैं ऑफ़िस थोड़ी देर से पहुंचा,आज मैं हॉफ़िस थोड़ी देर से बोल चाहूँ,Hindi,"Significant meaning change. ""हॉफ़िस"" vs ""ऑफ़िस"" is minor variation."
